data,filial,produto,quantidade,preco_unitario,pagamento,id_funcionario,total
2026-05-15,Aldeota,Feijoada Completa,3,45.0,Cartao Credito,102,135.0
2026-05-15,Aldeota,Coca-Cola 350ml,3,6.0,Cartao Credito,102,18.0
2026-05-16,Meireles,Filé a Cavalo,2,52.0,Dinheiro,999,104.0
2026-05-16,Aldeota,Feijoada Completa,3,45.0,Cartao Credito,102,135.0
2026-05-16,Maraponga,Mousse de Chocolate,1,12.0,Pix,115,12.0
2026-05-16,Maraponga,Coca-Cola 350ml,1,6.0,Pix,115,6.0
2026-05-17,Aldeota,Coca-Cola 350ml,5,6.0,Não informado,102,30.0
2026-05-17,Centro,Prato Feito Frango,10,22.0,Dinheiro,108,220.0
2026-05-18,Meireles,Filé a Cavalo,1,52.0,Pix,110,52.0
2026-05-18,Aldeota,Feijoada Completa,2,45.0,Cartao Credito,999,90.0
